dept_id,dept_name,faculty_id,campus,salary_total,avg_salary,avg_salary_m,avg_salary_f,avg_salary_unknown_gender,expenses_total,avg_expenses,avg_emp_rating,num_ratings,num_employees,female_count,male_count,no_gender_count
291,"Gastroenterology Division",NULL,van,694884,138976.8000,148944.6667,124025.0000,NULL,20404,4080.8000,NULL,0,5,2,3,0
202,"Communications & Marketing",NULL,van,690952,98707.4286,86689.5000,114731.3333,NULL,18248,2606.8571,NULL,0,7,3,4,0
312,"Barber School of Arts and Sciences - Dean's Office",9,van,685797,137159.4000,166342.0000,129863.7500,NULL,26218,5243.6000,NULL,0,5,4,1,0
186,"School Of Journalism",NULL,van,678182,135636.4000,153589.0000,108707.5000,NULL,56782,11356.4000,10.6000,11,5,2,3,0
210,"Food Services",NULL,van,661555,94507.8571,94119.2500,95026.0000,NULL,38504,5500.5714,NULL,0,7,3,4,0
204,"Information Systems & Technology Division",NULL,van,652824,93260.5714,97536.0000,82572.0000,NULL,11747,1678.1429,NULL,0,7,2,5,0
283,"Application Management Services",NULL,van,644443,107407.1667,108207.8000,103404.0000,NULL,2866,477.6667,NULL,0,6,1,5,0
98,"Critical Care Medicine",5,van,630168,105028.0000,115055.2500,84973.5000,NULL,5448,908.0000,NULL,0,6,2,4,0
241,"Technical Services",NULL,van,628297,104716.1667,104716.1667,NULL,NULL,11854,1975.6667,NULL,0,6,0,6,0
139,Library,NULL,oka,622400,88914.2857,95262.0000,87856.3333,NULL,36048,5149.7143,NULL,0,7,6,1,0
242,"Operations Effectiveness",NULL,van,617405,102900.8333,91253.0000,114548.6667,NULL,13941,2323.5000,1.0000,2,6,3,3,0
135,"Facilities Manager",NULL,van,615217,102536.1667,99038.4000,120025.0000,NULL,4884,814.0000,NULL,0,6,1,5,0
274,"Business Information Systems",NULL,van,609852,87121.7143,88841.2000,77411.0000,88235.0000,2583,369.0000,NULL,0,7,1,5,1
94,"Rheumatology Division",5,van,595871,148967.7500,145673.5000,152262.0000,NULL,0,0.0000,NULL,0,4,2,2,0
230,"Theatre And Film (Film)",7,van,589940,117988.0000,127499.0000,111647.3333,NULL,4751,950.2000,NULL,0,5,3,2,0
219,"Desktop Services",NULL,van,587824,83974.8571,86278.2000,76588.0000,79845.0000,5636,805.1429,NULL,0,7,1,5,1
253,"Thunderbird Residence Housing-Facilities",NULL,van,570598,81514.0000,82000.0000,NULL,78598.0000,2496,356.5714,7.0000,2,7,0,6,1
264,"Faculty Of Applied Science",NULL,van,564793,141198.2500,141198.2500,NULL,NULL,10827,2706.7500,5.0000,1,4,0,4,0
158,"Internal Audit",NULL,van,563773,112754.6000,121805.2500,76552.0000,NULL,30605,6121.0000,1.0000,1,5,1,4,0
284,"Access & Diversity",NULL,van,552260,92043.3333,80267.0000,103819.6667,NULL,17750,2958.3333,1.0000,1,6,3,3,0
305,"VP Development & Alumni Engagement Office",NULL,van,552256,184085.3333,NULL,184085.3333,NULL,114782,38260.6667,NULL,0,3,3,0,0
205,"Executive Education",15,van,548237,137059.2500,240073.0000,102721.3333,NULL,95671,23917.7500,NULL,0,4,3,1,0
232,"VP Students Office",NULL,van,542539,135634.7500,107542.0000,163727.5000,NULL,23755,5938.7500,6.0000,2,4,2,2,0
197,"James Hogg iCapture Centre",NULL,van,530435,88405.8333,85362.0000,89927.7500,NULL,8329,1388.1667,NULL,0,6,4,2,0
344,"Centre for Student Involvement & Careers",NULL,van,527255,87875.8333,80516.0000,91555.7500,NULL,24472,4078.6667,NULL,0,6,4,2,0
133,"Digital Initiatives",NULL,van,525887,105177.4000,107755.3333,101310.5000,NULL,23957,4791.4000,NULL,0,5,2,3,0
196,"VP Finance, Resources & Operations",NULL,van,514317,171439.0000,325873.0000,94222.0000,NULL,20896,6965.3333,NULL,0,3,2,1,0
187,"Alumni UBC",NULL,van,509072,101814.4000,114914.0000,93081.3333,NULL,38295,7659.0000,NULL,0,5,3,2,0
258,Sustainability/Engineering,NULL,van,503990,100798.0000,104917.0000,84322.0000,NULL,6283,1256.6000,NULL,0,5,1,4,0
272,"Faculty Of Science",NULL,van,482920,160973.3333,192660.5000,97599.0000,NULL,11902,3967.3333,5.0000,1,3,1,2,0
235,"Academic Systems Support",NULL,van,482823,96564.6000,98237.5000,89873.0000,NULL,5780,1156.0000,NULL,0,5,1,4,0
